datetime,open,high,low,close,volume
2024-01-17 18:00:00,42371.10,42612.48,42278.98,42612.45,1471.84
2024-01-17 19:00:00,42612.46,42745.99,42555.22,42611.11,1041.37
2024-01-17 20:00:00,42611.10,42876.48,42559.29,42722.90,2990.71
2024-01-17 21:00:00,42722.90,42822.96,42603.20,42676.13,1125.25
2024-01-17 22:00:00,42676.14,42729.06,42450.00,42722.14,767.12
2024-01-17 23:00:00,42722.13,42792.48,42619.73,42776.10,869.80
2024-01-18 00:00:00,42776.09,42784.40,42617.31,42660.79,877.07
2024-01-18 01:00:00,42660.79,42713.92,42502.19,42584.62,814.28
2024-01-18 02:00:00,42584.61,42721.00,42584.12,42653.82,563.70
2024-01-18 03:00:00,42653.81,42676.75,42550.00,42592.05,522.21
2024-01-18 04:00:00,42592.04,42689.95,42589.00,42665.00,550.15
2024-01-18 05:00:00,42664.99,42784.99,42634.00,42772.87,797.44
2024-01-18 06:00:00,42772.86,42873.25,42759.13,42807.05,817.27
2024-01-18 07:00:00,42807.04,42922.00,42804.00,42915.33,1228.25
2024-01-18 08:00:00,42915.32,42930.00,42724.00,42742.00,870.48
2024-01-18 09:00:00,42742.00,42871.85,42709.61,42743.84,958.87
2024-01-18 10:00:00,42743.85,42779.27,42388.00,42447.66,1548.48
2024-01-18 11:00:00,42447.67,42551.10,42387.68,42544.59,1489.30
2024-01-18 12:00:00,42544.60,42547.39,42353.80,42433.44,1113.60
2024-01-18 13:00:00,42433.45,42657.16,42362.00,42508.00,1491.62
2024-01-18 14:00:00,42508.01,42742.00,42428.37,42738.70,1312.17
2024-01-18 15:00:00,42738.70,42810.00,42611.10,42619.32,1369.13
2024-01-18 16:00:00,42619.31,42619.32,41736.27,41948.99,4847.45
2024-01-18 17:00:00,41948.99,42178.39,41500.00,41816.71,4035.12
2024-01-18 18:00:00,41816.71,41916.07,41370.00,41508.95,3372.52
2024-01-18 19:00:00,41508.95,41601.52,40831.99,41022.32,5153.56
2024-01-18 20:00:00,41022.33,41315.80,40683.28,40835.60,4564.23
2024-01-18 21:00:00,40835.60,41266.00,40757.85,41124.00,2812.09
2024-01-18 22:00:00,41123.99,41366.99,41076.01,41354.67,1784.04
2024-01-18 23:00:00,41354.67,41361.00,41203.18,41327.50,1014.47
2024-01-19 00:00:00,41327.51,41370.99,41100.00,41290.50,1141.19
2024-01-19 01:00:00,41290.50,41333.46,41122.15,41270.00,1268.00
2024-01-19 02:00:00,41270.01,41303.89,41084.03,41119.44,1095.25
2024-01-19 03:00:00,41119.44,41147.58,40752.26,41055.87,2243.08
2024-01-19 04:00:00,41055.88,41225.00,41038.81,41098.53,893.56
2024-01-19 05:00:00,41098.53,41238.56,41062.72,41210.50,713.83
2024-01-19 06:00:00,41210.51,41522.41,41194.01,41474.00,1605.56
2024-01-19 07:00:00,41474.01,41576.00,41270.70,41284.25,2039.35
2024-01-19 08:00:00,41284.26,41385.59,41143.33,41289.99,1124.49
2024-01-19 09:00:00,41290.00,41464.34,41248.10,41398.37,1417.81
2024-01-19 10:00:00,41398.37,41489.73,41334.00,41486.06,928.98
2024-01-19 11:00:00,41486.05,41509.69,41368.90,41475.37,961.48
2024-01-19 12:00:00,41475.37,41488.20,41260.21,41337.31,1249.91
2024-01-19 13:00:00,41337.30,41429.86,41268.33,41393.08,1053.49
2024-01-19 14:00:00,41393.08,41455.00,40841.10,40969.31,3475.39
2024-01-19 15:00:00,40969.31,41156.38,40718.00,40894.71,3482.09
2024-01-19 16:00:00,40894.71,40953.59,40310.00,40395.01,4971.06
